,full_text,label
0,,0
1,@MamzelleMNa Une très humble femme! #Ironie,0
2,"BLOGUE - «Tsé, la parité homme-femme...» au sein de Vision Saint-Jérôme http://t.co/26ziyrXSYx #femmes #politique #ironie",0
3,,0
4,,0
5,Mise en ligne de mon article sur @PayeTaShnek pour @DeerMag soon ;) #payetashnek #tentativedeseductionenmilieuurbain #buyadeer #reading,0
6,,0
7,Hommage #journeedelafemme Toute sa vie elle a vendu des fleurs dans la rue. Elle a été pauvre aussi bien qu'un homme https://t.co/0mqD4e0dzs,0
8,Lustre bois flotté feuilles exotiques bleues abat jour https://t.co/aCBlRgfxvq via @Etsy,0
9,,0
10,"#Paradiski c'est quoi ? 400 km de pistes vertes, bleues, rouges, noires et des snowparks pour les plus sportifs. Difficile de s'ennuyer les skis aux pieds ! C'est parti, direction #LaPlagne ! 🎿 https://t.co/LfF5HPyiIs https://t.co/a6jgDtvmE9",0
11,Mdrrr et avant  avec les tél chinois ça disait carrément ´´Vivre les dents bleues’´  kxptdrwzxvbdj😂😂😂😂 https://t.co/NHFLbQjF2j,0
12,,0
13,,0
14,Boucles d'Oreilles Bohèmes Bronze Fleurs Gouttes Bleues https://t.co/oa7xD8N5Rt via @Etsy,0
15,,0
16,"Dans notre Club Alpes d’Azur de @SerreChe_FR on skie, on s’amuse mais surtout on mange bien #chef #food #Vacances https://t.co/Pl8i7V29g2",0
17,Collier plume bronze perle en papier artisanale collier perles bleues violettes chaine idée cadeau femme cadeau saint valentin cadeau fait main https://t.co/UxyQEqeFc0,0
18,"#VivreEnsemble : Les footballeurs professionnels, de mauvais citoyens   #omerta #Sexisme #Harcèlement @melissa_plaza  @ouestfrance  https://t.co/83xMHR7CVV",0
19,,0
20,@lau_devil Il en parle aussi dans les @lesinrocks https://t.co/nZ3LVMWsLn #Wikipedia #sexisme,0
21,"#sexisme #clichés #Egalité #AccordEgalitéProfessionnelle
La ministre du travail veut ""réaliser le rattrapage salarial femmes-hommes"" - ladepeche.fr https://t.co/PKayWx5Rq9",0
22,,0
23,"Dans le cadre de la levée de fonds, vous aurez la chance de gagner un paquet cadeau de produits de santé-beauté Vegan d'une valeur de 100$ ! Écrivez-nous en privé, on vous donne tous les détails!  #moiaussi #metoo https://t.co/APhEdhdaJZ Le tirage aura lieu le 10 décembre 2017 !",0
24,,0
25,Le Time attribue le titre de personnalité de l'année 2017 à celles qui ont lancé le mouvement #metoo #moiaussi https://t.co/RAvXuFiq3n,0
26,,0
27,,0
28,"Oh, les personnalités de l’année selon Time: celles dont les voix ont lancé le mouvement #MoiAussi #MeToo https://t.co/KfLJqUcm6J",0
29,,0
30,,0
31,,0
32,,0
33,,0
34,"VIDEO. Racisme en politique : la colère de Christiane Taubira dans ""Complément d'enquête"" https://t.co/FgkG5FAW2z https://t.co/ewSj2NpLyw",0
35,"Video: Enervée par des propos racistes, Christiane Taubira met fin à l'interview de Compléments d'enquete
 https://t.co/eMbge7XsBx https://t.co/nzqyDjbm2d",0
36,"#PJLTerrorisme : ""La sécurité n’est pas la première des libertés"" Interview exclusive de Christiane Taubira https://t.co/w8ZChtHy4B https://t.co/VFzygMH0TU",0
37,"Christiane Taubira : ""Il y a un lien intrinsèque entre les racines et les ruptures de vie"" https://t.co/ToBnCj3E5F https://t.co/IKCkRSjYCL",0
38,,0
39,"Christiane Taubira : « Chaque fois qu’on a restreint les libertés, on n’a pas su les rétablir » 
#PJLTerrorisme
https://t.co/dTvu2UcyKo",0
40,"VIDÉO. Racisme en politique : en colère, Christiane #Taubira met fin à une interview. #Cdenquete https://t.co/nNXWNPVAOT https://t.co/mLygISmW6T",0
41,"Une pétition féministe demande à Edouard Philippe de mettre fin aux fonctions du ministre Gérald Darmanin, visé par une enquête préliminaire pour viol  https://t.co/2t7VEOZdCp #AFP https://t.co/0bHSK3Knd0",0
42,"1/5 Demain c'est le jour du budget provincial 2018-2019 ! Voici ce qu’on surveille :
- Le @rfeministeNB porte une attention particulière à l’analyse inclusive selon le genre (AIG) ... #polinb",0
43,Mais d'où tu discutes avec une vieille femme qui t'observe par la fenêtre de la cuisine et qui a l'air timbrée ?,0
44,,0
45,,0
46,Je suis vraiment le genre de fille qui marque les esprits. #ironie,0
47,,0
48,Hé mais ... @Garou_officiel il aurait pas une fille de 12 ans par hasard ? ;-) #ironie #sionlesaitpas #TheVoiceKids,0
49,@Mikofficiel euh perso vivian et ses yeux qui se disent bjr ne laisserait aucune fille de marbre #ironie #marcelbcptroppiquants,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,Tous les membres de la communauté ont un rôle à jouer pour prévenir et éliminer la violence faite aux femmes. Joignez-vous à nous!📣 JOURNÉE #13: Reconnaître la différence entre la chicane et la violence 💜 #16days #16jours #STOPViolenceFemmes #metoo #moiaussi #MESGestesComptent https://t.co/mvjciZ5F09,0
59,"«À quelle somme ce genre de comportement devient-il acceptable, selon vous, messieurs ? Cent mille dollars ? Un million ? Combien pour pogner une fesse, pour exhiber son sexe, pour menacer de représailles ?» #metoo #moiaussi https://t.co/DYLR0aJUQA",0
60,,0
61,,0
62,,0
63,Notre témoignage #balancetonporc à la 4 eme minute . What’s next ? L’avenir se construit maintenant. A nous d’y contribuer et d’être suivies. Juste un commencement #metoo @TIME https://t.co/5RU3yFNwQA,0
64,@Noah_Lunsi acheter un #S8+ à 1100 € et être heureux pour sa capacité à faire de belle photo ok mais à vouloir refaire la comparaison avec ton #Nokia 3310 à 60 € pour son absence d appareil  photo seul ton cerveau est capable d une grosse perte d harmonie #BalanceTonPorc,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,"Etre, 
S'entretenir comme,
un homme de paix
voilà la fin de la guerre. https://t.co/R7n5xpiJGT",0
71,,0
72,"@Menina8474 je comprd c que tu vx dire et je suis dacc"" le personnage de grey est pervers""(mais n oubli pas que la fille etait dacc) Et dailleure c film ne ma jamais plu (a toi non plus) du coup on pt pa généraliser et comparer #50NuancesDeGrey  à #balancetonporc",0
73,Les «briseuses de silence» désignées «personnalité de l’année» par «Time» #moiaussi #metoo #12joursdaction https://t.co/XrbAAPmm72 via @LeDevoir,0
74,,0
75,,0
76,Le monde entier est maintenant secoué par une déferlante d’accusations @TIME #MeToo #MoiAussi : https://t.co/nYvBDwdJj8,0
77,,0
78,Le mouvement #moiaussi personnalité de l'année de Time https://t.co/mrT7acnbVg #FM93 https://t.co/Clktpvd1By,0
79,,0
80,"Les propos récents du porte-parole LR sont un parfait exemple des stéréotypes véhiculés sur l’apprentissage : voie de garage, voie pour les mauvais. STOP ! Arrêtons de raconter des idioties. #apprentissage #FormPro https://t.co/dpMHAurj2g",0
81,,0
82,"Selon Le Canard enchaîné, Sarkozy aurait dit à Wauquiez : ""Beaucoup de monde me disait que tu n'étais qu'une grosse merde. Aujourd'hui, je n'ai d'autre choix que de penser comme eux. Il paraît que tu as des ambitions présidentielles. Si j'étais toi, je trouverais un autre métier""",0
83,"Ce soir, j’aurais aimé vous parler de ce que faisait le Président aux Mureaux, pour lancer le plan bibliothèques. Vous parler d’Ecole, de pouvoir d’achat. On ne peut pas le faire, parce que le débat est parasité par les outrances de Laurent Wauquiez. #GrandAngle @BFMTV https://t.co/q9dYqe8inL",0
84,"Je ne me retrouve pas dans la spirale dans laquelle s’engage @LesRepublicains : en accord avec mon éthique, je quitte ce parti et n’appartiens désormais plus qu’au @EPP. #Wauquiez #BFMTV #19hRuthElkrief",0
85,"""Je viens des Républicains et je sais pourquoi j'en suis partie. Notammant quand je vois le choix de Laurent Wauquiez en président de parti et ses propos à Lyon."" @BFMTV #WauquiezGate",0
86,Les propos de Laurent #Wauquiez sont inacceptables. Je me mets en retrait du parti Les Républicains. https://t.co/OdgdUzXSoQ,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,"Bravo les Bleues ! 👏 👏 

C'est mérité !!! 🏆🥇 

Bien joué aux Norvégiennes ! 🥈Beau match ! 
#Germany2017 #FRANOR #Handball #BleuetFier 🇫🇷🤾‍♀️",0
96,,0
97,"Un match haletant, une victoire sublime. Bravo aux Bleues pour cette magnifique performance. 👏🇫🇷#FRANOR",0
98,,0
99,"Non !@DenisBrogniart, la victoire des Bleues n'a rien à voir avec la diffusion du match en direct sur #TF1. Sans doute avez vous confondu avec la finale d'une émission de téléréalité qui s'appelle koh Lanta ! https://t.co/es1VoeMhKr",0
100,Fier de nos Bleues qui nous ont fait vibrer tout le long de ce beau match. Quel stress jusqu’à la dernière minute... mais quelle magnifique victoire ! #FRANOR 🥇🏆🇫🇷🤾‍♀️,0
101,Une émotion intense et chaleureuse dans les gradins pour celebrer la victoire des Bleues ! Un match #FRANOR rempli d'#Energie grâce à l'équipe féminine de @FRAHandball ! 🥇🇫🇷 CHAMPIONNE DU MONDE ! ENCORE BRAVO 👏 https://t.co/SwX9bojZYf,0
102,"Quel match!!!...Elles l’ont fait!!!! 👊🏻👌🏻🥇🏆 
le kiffe😍😍😍!!!!
#Championnesdumonde!!! 🎉🎉#FRANOR 
Merci les bleues!!😉 @EspritHandball https://t.co/2gF2cQiXx7",0
103,,0
104,,0
105,"La roue tourne, et Matteo Renzi, nec plus ultra de la mondialisation heureuse vient d’en faire les frais. Pour Angela Merkel « le coup passa si près que le chapeau tomba ». Les mêmes causes produisant les mêmes effets, #Macron en continuant sur le même chemin subira le même sort https://t.co/OpsgO1UmFX",0
106,,0
107,"Allemagne : « Non, l’islam n’a pas sa place en Allemagne » martèle le nouveau ministre de l’Intérieur, critique d’Angela Merkel https://t.co/nAy5xJZBmm via @On retombe les 2 pieds sur terre en Allemagne mais en France, on a toujours collaboré parce que c'était plus facile....",0
108,"quand marine le pen a dit à angela merkel ""merci madame merkel de nous faire le plaisir de venir avec votre vice-chancelier administrateur de la province France"" en parlant d'hollande j'ai faillis faire un avc 😭 la condescendance de cette femme est incroyable",0
109,"#MarianoRajoy tweete en espagnol 
#TheresaMay tweete en anglais 
#AngelaMerkel ignore Twitter 

Bref #jdcjdr … nous #Macron depuis 5 jours c’est en anglais ou en allemand 🙄",0
110,"#JeSoutiensLaGrèveDesCheminots car je refuse qu’un énarque millionnaire détruise le statut des cheminots créé en 1920, juste pour faire des courbettes devant Angela Merkel. #MonTrainJYTiens",0
111,Angela Merkel lâche Emmanuel Macron sur son projet de budget de la zone euro https://t.co/PkueYdxD7n https://t.co/vBuNT4ajfT,0
112,,0
113,Un comité qui conseille Angela Merkel avertit des risques d’une extradition de Carles Puigdemont @KRLS qui impliquerait un engagement à côté du gouvernement Rajoy au lieu d’une invitation à négocier. https://t.co/PfZwDh970Q,0
114,"@MERLINCLUBHOUSE @mualni @macron @fhollande Le problème, c'est Macron. En voulant passer en force comme à son habitude, il a sous-estimé les capacités de nuisance d'Angela Merkel.",0
115,"Retrouvez toutes les infos sur la page de l'événement « Le mouvement #moiaussi : Dénonciation, libération, réparation ? » https://t.co/KSAW821pZ5",0
116,@RiMartineau Après la blague de mononcle faite par Jean Charest  ... il n’y a pas eu beaucoup de « #moiaussi » de la part de ses amis,0
117,,0
118,"«Le mouvement #MoiAussi instaure des procès populaires et des purges» 
est à 2017 ce que
«La rue ne peut pas décider à la place des urnes» 
est à 2012.",0
119,#AgressionsSexuelles : @PoliceGatineau emboîte le pas au @SPVQ et @SPVM #moiaussi https://t.co/NsWOWscjau,0
120,"[🆕 PORTRAIT 🙌🏽✨] Féministe décoloniale, Founé est une jeune 🚺 inspirante qui nous livre dans cet article son parcours et les difficultés qu’elle a subies en tant que femme noire, musulmane vivant dans un quartier populaire 📣👩🏿💪🏿✍🏿
🔛 https://t.co/DOhmwOpdvm https://t.co/QRutO8026q",0
121,,0
122,,0
123,,0
124,"Catherine Deneuve présente ses ""excuses"" aux victimes et désavoue certaines cosignataires de la tribune polémique https://t.co/3TJ0RTNa8a",0
125,,0
126,,0
127,Catherine Deneuve s’excuse face au victimes d’harcèlement  sexuel !  https://t.co/A0JgJaej7o,0
128,,0
129,,0
130,C'était attendu. On évoque #BalanceTonPorc et #TimesUp avec les jeunes venus à leur journée citoyenneté https://t.co/g6r7HPWUlw,0
131,Les jumelles Estelle et Delphine Cascarino convoquées par Corinne Diacre pour le match amical contre l'Italie au Vélodrome le 20/01. #Bleues #France2019 https://t.co/37Tlmhhlli,0
132,"Bravo @Vivi_Asseyi pour ta nouvelle sélection avec les Bleues, et qui plus est pour un match au Vélodrome (20/01 vs Italie) devant tes supporters ! 👏⚽️ #Bleues #EdF #OM #TeamOM",0
